"original_name";"name_clear"
"Tubificidae sp. (Oligochaeta)";"Tubificidae"
"Naididae sp. (Oligochaeta)";"Naididae"
"Lumbricidae sp. (Oligochaeta)";"Lumbricidae"
"Angrobia sp. (Mollusca - Gastropoda)";"Angrobia"
"Sphaerium tasmanicum (Mollusca - Bivalvia)";"Sphaerium tasmanicum"
"Chironomus sp. (Diptera - Chironomidae)";"Chironomus"
"Paramerina sp. (Diptera - Chironomidae)";"Paramerina"
"Orthocladiinae sp. 1 (Chironomidae)";"Orthocladiinae"
"Triplectides truncatus (Trichoptera - Leptoceridae)";"Triplectides truncatus"
"Triplectides ciuskeus (Trichoptera - Leptoceridae)";"Triplectides ciuskeus"
"Leptorussa darlingtoni (Trichoptera - Leptoceridae)";"Leptorussa darlingtoni"
"Necterosoma penicillatus - adult (Chironomidae - Dytiscidae)";"Necterosoma penicillatus"
"Macrogyrus oblongus - adult (Chironomidae  - Gyrinidae)";"Macrogyrus oblongus"
"Eucyclops sp. (Copepoda)";"Eucyclops"
"Macrocyclops albidus (Copepoda)";"Macrocyclops albidus"
"Galaxias olidus (Pisces - Galaxidae)";"Galaxias olidus"
"Amorphous detritus";"Detritus"
"Dead cellular plant material";"Dead cellular plant material"
"Tetraedron sp.";"Tetraedron"
"Tabellaria sp.";"Tabellaria"
"Navicula sp.";"Navicula"
"Algae spp.";"Algae"
"Terrestrial insects";"Insectae"
