"original_name";"name_clear"
"Zooplankton";"Zooplankton"
"Amphithoe valida";"Amphithoe valida"
"Melita palmata";"Melita palmata"
"Cerastoderma edule";"Cerastoderma edule"
"Scrobicularia plana";"Scrobicularia plana"
"Carcinus maenas";"Carcinus maenas"
"Crangon crangon";"Crangon crangon"
"Haminoea hydatis";"Haminoea hydatis"
"Hydrobia ulvae";"Hydrobia ulvae"
"Littorina littorea";"Littorina littorea"
"Cyathura carinata";"Cyathura carinata"
"Idotea chelipes";"Idotea chelipes"
"Alkmaria romijni";"Alkmaria romijni"
"Capitella capitata";"Capitella capitata"
"Chaetozone setosa";"Chaetozone setosa"
"Eteone flava";"Eteone flava"
"Glycera tridactyla";"Glycera tridactyla"
"Hediste diversicolor";"Hediste diversicolor"
"Heteromastus filiformis";"Heteromastus filiformis"
"Lagis koreni";"Lagis koreni"
"Mediomastus fragilis";"Mediomastus fragilis"
"Mista picta";"MYsta picta"
"Nephthys spp.";"Nephthys"
"Streblospio shrubsolii";"Streblospio shrubsolii"
"Nemertini";"Nemertini"
"Oligochaets";"Oligochaets"
"Phytoplankton";"Phytoplankton"
"Microphytobenthos";"Microphytobenthos"
"Green macroalgae";"Green macroalgae"
"Detritus";"Detritus"
"Ampithoe valida";"Ampithoe valida"
"Imports";"Imports"
"Zostera noltii";"Zostera noltii"
