"original_name";"name_clear"
"Zooplankton";"Zooplankton"
"Melita palmata";"Melita palmata"
"Cerastoderma edule";"Cerastoderma edule"
"Scrobicularia plana";"Scrobicularia plana"
"Carcinus maenas";"Carcinus maenas"
"Crangon crangon";"Crangon crangon"
"Hydrobia ulvae";"Hydrobia ulvae"
"Cyathura carinata";"Cyathura carinata"
"Alkmaria romijni";"Alkmaria romijni"
"Capitella capitata";"Capitella capitata"
"Hediste diversicolor";"Hediste diversicolor"
"Heteromastus filiformis";"Heteromastus filiformis"
"Mediomastus fragilis";"Mediomastus fragilis"
"Pygospio elegans";"Pygospio elegans"
"Streblospio shrubsolii";"Streblospio shrubsolii"
"Oligochaets";"Oligochaets"
"Phytoplankton";"Phytoplankton"
"Microphytobenthos";"Microphytobenthos"
"Green macroalgae";"Green macroalgae"
"Detritus";"Detritus"
"Imports";"Imports"
