"Closs, G.P., and Lake, P.S. (1994). Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs. 64, pp. 1-21.",,,,,,,,,,,,,,
The Lerderderg River - Site B - May 1985,Tubificidae sp. (Oligochaeta),Naididae sp. (Oligochaeta),Lumbricidae sp. (Oligochaeta),Angrobia sp. (Mollusca - Gastropoda),Physastra gibbosa (Mollusca - Gastropoda),Sphaerium tasmanicum (Mollusca - Bivalvia),Chironomus sp. (Diptera - Chironomidae),Orthocladiinae sp. 1 (Chironomidae),Triplectides truncatus (Trichoptera - Leptoceridae),Triplectides ciuskeus (Trichoptera - Leptoceridae),Helicopsychidae sp. (Trichoptera),Leptorussa darlingtoni (Trichoptera - Leptoceridae),Necterosoma penicillatus - adult (Chironomidae - Dytiscidae),Macrogyrus oblongus - adult (Chironomidae  - Gyrinidae)
Amorphous detritus,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Dead cellular plant material,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Algae spp.,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Tetraedron sp.,0,0,0,1,1,0,1,0,1,0,1,1,0,0
Tabellaria sp.,0,0,0,1,1,0,1,0,1,0,1,1,0,0
Navicula sp.,0,0,0,1,1,0,1,0,1,0,1,1,0,0
Tubificidae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Naididae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lumbricidae sp. (Oligochaeta),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ferrissia sp. (Mollusca - Gastropoda),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angrobia sp. (Mollusca - Gastropoda),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physastra gibbosa (Mollusca - Gastropoda),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerium tasmanicum (Mollusca - Bivalvia),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomus sp. (Diptera - Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paramerina sp. (Diptera - Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae sp. 1 (Chironomidae),0,0,0,0,0,0,0,0,0,0,0,0,1,0
Triplectides truncatus (Trichoptera - Leptoceridae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Triplectides ciuskeus (Trichoptera - Leptoceridae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicopsychidae sp. (Trichoptera),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptorussa darlingtoni (Trichoptera - Leptoceridae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necterosoma penicillatus - adult (Chironomidae - Dytiscidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrogyrus oblongus - adult (Chironomidae  - Gyrinidae),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucyclops sp. (Copepoda),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrestrial insects,0,0,0,0,0,0,0,0,0,0,0,0,0,1
